country,iso,lat,lng
India,IND,20.593684,78.96288
Antigua and Barbuda,ATG,17.060816,-61.796428
Canada,CAN,56.130366,-106.346771
China,CHN,35.86166,104.195397
Colombia,COL,4.570868,-74.297333
Ecuador,ECU,-1.831239,-78.183406
Bangladesh,BGD,23.684994,90.356331
Switzerland,CHE,46.818188,8.227512
Comoros (the),COM,-11.6455,43.3333
Indonesia,IDN,-0.789275,113.921327
Austria,AUT,47.516231,14.550072
Algeria,DZA,28.033886,1.659626
Fiji,FJI,-17.713371,178.065032
United Kingdom of Great Britain and Northern Ireland (the),GBR,55.378051,-3.435973
Haiti,HTI,18.971187,-72.285215
Chile,CHL,-35.675147,-71.542969
Cyprus,CYP,35.126413,33.429859
Greece,GRC,39.074208,21.824312
Belgium,BEL,50.503887,4.469936
Germany Fed Rep,DFR,51.165691,10.451526
Spain,ESP,40.463667,-3.74922
Afghanistan,AFG,33.93911,67.709953
Netherlands Antilles,ANT,52.132633,5.291266
Egypt,EGY,26.820553,30.802498
Anguilla,AIA,18.220554,-63.068615
Australia,AUS,-25.274398,133.775136
Belize,BLZ,17.189877,-88.49765
Barbados,BRB,13.193887,-59.543198
Brazil,BRA,-14.235004,-51.92528
Guadeloupe,GLP,16.265,-61.551
Hong Kong,HKG,22.3193039,114.1693611
Argentina,ARG,-38.416097,-63.616672
France,FRA,46.227638,2.213749
Ethiopia,ETH,9.145,40.489673
Honduras,HND,15.199999,-86.241905
Albania,ALB,41.153332,20.168331
Guam,GUM,13.444304,144.793731
Bahamas (the),BHS,25.03428,-77.39628
Costa Rica,CRI,9.748917,-83.753428
Cuba,CUB,21.521757,-77.781167
Dominica,DMA,15.414999,-61.370976
Dominican Republic (the),DOM,18.735693,-70.162651
Grenada,GRD,12.1165,-61.679
Azores Islands,AZO,37.7412488,-25.6755944
Bulgaria,BGR,42.733883,25.48583
Bolivia (Plurinational State of),BOL,-16.290154,-63.588653
Botswana,BWA,-22.328474,24.684866
American Samoa,ASM,-14.270972,-170.132217
Burkina Faso,BFA,12.238333,-1.561593
Congo (the),COG,-0.228021,15.827659
Cook Islands (the),COK,-21.236736,-159.777671
Ghana,GHA,7.946527,-1.023194
Gambia (the),GMB,13.443182,-15.310139
Benin,BEN,9.30769,2.315834
Cabo Verde,CPV,16.5388,-23.0418
Guinea-Bissau,GNB,11.803749,-15.180413
Guatemala,GTM,15.783471,-90.230759
Côte d’Ivoire,CIV,7.539989,-5.54708
Hungary,HUN,47.162494,19.503304
Cameroon,CMR,7.369722,12.354722
Guyana,GUY,4.860416,-58.93018
Central African Republic,CAF,6.611111,20.939444
Czechoslovakia,CSK,50.0755,14.4378
Denmark,DNK,56.26392,9.501785
Djibouti,DJI,11.825138,42.590275
Burundi,BDI,-3.373056,29.918886
Bahrain,BHR,26.0667,50.5577
Iran (Islamic Republic of),IRN,32.427908,53.688046
Japan,JPN,36.204824,138.252924
Pakistan,PAK,30.375321,69.345116
Peru,PER,-9.189967,-75.015152
Philippines (the),PHL,12.879721,121.774017
Sudan (the),SDN,12.862807,30.217636
Nicaragua,NIC,12.865416,-85.207229
Italy,ITA,41.87194,12.56738
Jamaica,JAM,18.109581,-77.297508
Morocco,MAR,31.791702,-7.09262
Mexico,MEX,23.634501,-102.552784
New Caledonia,NCL,-20.904305,165.618042
Papua New Guinea,PNG,-6.314993,143.95555
El Salvador,SLV,13.794185,-88.89653
Turkey,TUR,38.963745,35.243322
Taiwan (Province of China),TWN,23.69781,120.960515
United States of America (the),USA,37.09024,-95.712891
Soviet Union,SUN,61.52401,105.318756
Netherlands (the),NLD,52.132633,5.291266
New Zealand,NZL,-40.900557,174.885971
Iraq,IRQ,33.223191,43.679291
Nepal,NPL,28.394857,84.124008
Saint Kitts and Nevis,KNA,17.357822,-62.782998
Lebanon,LBN,33.854721,35.862285
Korea (the Republic of),KOR,35.907757,127.766922
Mozambique,MOZ,-18.665695,35.529562
Solomon Islands,SLB,-9.64571,160.156194
Sri Lanka,LKA,7.873054,80.771797
Mongolia,MNG,46.862496,103.846656
Canary Is,SPI,28.2915637,-16.6291304
Tunisia,TUN,33.886917,9.537499
French Polynesia,PYF,-17.679742,-149.406843
Niue,NIU,-19.054445,-169.867233
Saint Lucia,LCA,13.909444,-60.978893
Martinique,MTQ,14.641528,-61.024174
Mauritius,MUS,-20.348404,57.552152
Puerto Rico,PRI,18.220833,-66.590149
Somalia,SOM,5.152149,46.199616
Tonga,TON,-21.178986,-175.198242
Thailand,THA,15.870032,100.992541
Jordan,JOR,30.585164,36.238414
Libya,LBY,26.3351,17.228331
Myanmar,MMR,21.916221,95.955974
Paraguay,PRY,-23.442503,-58.443832
Trinidad and Tobago,TTO,10.691803,-61.222503
Kenya,KEN,-0.023559,37.906193
Panama,PAN,8.537981,-80.782127
Saudi Arabia,SAU,23.885942,45.079162
"Tanzania, United Republic of",TZA,-6.369028,34.888822
Mauritania,MRT,21.00789,-10.940835
Malaysia,MYS,4.210484,101.975766
Senegal,SEN,14.497401,-14.452362
Lao People's Democratic Republic (the),LAO,19.85627,102.495496
Mali,MLI,17.570692,-3.996166
Niger (the),NER,17.607789,8.081666
